                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.0049,                0.58359,                 1.0451,                0.84462,                0.76213,                0.85388,                0.59682,                 1.1003,                0.68715,                  1.133,               0.005842,               0.005842,               0.005842
                     65,                 1.0153,                0.59901,                 1.0478,                0.84623,                0.76049,                0.85261,                0.59587,                 1.1003,                0.68865,                 1.1327,               0.005776,               0.005776,               0.005776
                     66,                 1.0076,                0.59525,                 1.0456,                0.84028,                0.76609,                0.85291,                0.59558,                 1.1013,                0.68821,                 1.1312,                0.00571,                0.00571,                0.00571
                     67,                  1.012,                0.59231,                 1.0486,                0.84216,                0.76501,                 0.8538,                 0.5957,                 1.1017,                0.68736,                 1.1362,               0.005644,               0.005644,               0.005644
                     68,                 1.0125,                0.59048,                 1.0441,                  0.847,                0.76072,                0.85251,                0.59523,                 1.1001,                0.68664,                 1.1295,               0.005578,               0.005578,               0.005578
                     69,                 1.0123,                0.58294,                  1.047,                0.83872,                 0.7659,                 0.8523,                0.59504,                 1.1012,                0.68701,                 1.1331,               0.005512,               0.005512,               0.005512
                     70,                0.99666,                0.57588,                 1.0409,                0.84563,                0.76121,                0.85297,                0.59594,                 1.1007,                 0.6854,                 1.1352,               0.005446,               0.005446,               0.005446
                     71,                0.99081,                0.57212,                 1.0425,                0.84418,                0.76161,                0.85257,                0.59573,                 1.1003,                0.68819,                 1.1349,                0.00538,                0.00538,                0.00538
                     72,                0.99728,                0.57789,                 1.0376,                 0.8469,                0.76131,                0.85285,                0.59612,                 1.1005,                0.68666,                 1.1311,               0.005314,               0.005314,               0.005314
                     73,                0.99635,                0.58145,                 1.0419,                0.84481,                0.76315,                 0.8532,                0.59649,                 1.1021,                0.68724,                 1.1348,               0.005248,               0.005248,               0.005248
                     74,                0.99689,                 0.5818,                 1.0371,                0.84433,                0.76208,                0.85329,                 0.5963,                 1.1029,                0.68485,                 1.1302,               0.005182,               0.005182,               0.005182
                     75,                  1.003,                0.58032,                 1.0364,                 0.8493,                 0.7576,                0.85277,                0.59568,                 1.1034,                0.68561,                 1.1301,               0.005116,               0.005116,               0.005116
                     76,                0.99432,                0.57347,                 1.0403,                0.84457,                0.76151,                0.85193,                0.59486,                 1.1046,                0.68793,                 1.1371,                0.00505,                0.00505,                0.00505
                     77,                0.99182,                0.56783,                 1.0344,                0.84103,                0.76456,                  0.852,                0.59512,                 1.1039,                  0.687,                 1.1322,               0.004984,               0.004984,               0.004984
                     78,                0.98649,                0.56783,                 1.0366,                0.84308,                0.76444,                0.85231,                0.59532,                 1.1042,                0.68784,                 1.1344,               0.004918,               0.004918,               0.004918
                     79,                0.98675,                0.56251,                 1.0383,                0.84174,                 0.7634,                0.85186,                0.59486,                 1.1047,                0.68797,                 1.1368,               0.004852,               0.004852,               0.004852
                     80,                0.99882,                0.56949,                 1.0347,                0.84097,                0.76486,                0.85147,                0.59443,                 1.1042,                0.68943,                  1.136,               0.004786,               0.004786,               0.004786
                     81,                 0.9779,                0.55761,                 1.0352,                0.84395,                0.76252,                0.85134,                0.59468,                 1.1047,                0.69014,                 1.1384,                0.00472,                0.00472,                0.00472
                     82,                0.98439,                0.56212,                 1.0315,                0.84321,                0.76303,                0.85105,                0.59432,                 1.1057,                0.69106,                 1.1409,               0.004654,               0.004654,               0.004654
                     83,                0.98371,                0.55912,                 1.0294,                0.84673,                0.76067,                0.85102,                0.59422,                 1.1052,                0.68942,                   1.14,               0.004588,               0.004588,               0.004588
                     84,                0.97995,                0.56216,                 1.0301,                0.84877,                0.75723,                0.85107,                0.59416,                 1.1064,                0.68836,                 1.1403,               0.004522,               0.004522,               0.004522
